platform,region,rank,amount,relevant_at
PC,ncsa,0,481509,2018-02-11
XBOX,apac,3,275,2018-02-11
PC,apac,3,546,2018-02-11
XBOX,ncsa,0,283667,2018-02-11
PC,emea,3,1757,2018-02-11
XBOX,emea,3,1219,2018-02-11
PC,ncsa,3,1347,2018-02-11
XBOX,apac,0,560817,2018-02-11
PC,apac,0,544920,2018-02-11
XBOX,ncsa,3,3183,2018-02-11
PC,emea,0,419827,2018-02-11
XBOX,apac,9,879,2018-02-11
PC,apac,9,2261,2018-02-11
PS4,ncsa,17,33183,2018-02-11
PC,emea,9,7209,2018-02-11
PS4,ncsa,14,36056,2018-02-11
XBOX,emea,9,4896,2018-02-11
PS4,ncsa,0,683472,2018-02-11
PS4,apac,3,1141,2018-02-11
PS4,emea,3,4900,2018-02-11
PS4,ncsa,3,3730,2018-02-11
PS4,apac,0,897124,2018-02-11
PS4,emea,0,583825,2018-02-11
PC,ncsa,9,5115,2018-02-11
PS4,apac,17,10188,2018-02-11
XBOX,ncsa,9,12457,2018-02-11
PC,apac,20,1760,2018-02-13
PS4,emea,14,47694,2018-02-11
PS4,apac,14,10173,2018-02-11
PS4,emea,17,43430,2018-02-11
XBOX,ncsa,12,17017,2018-02-11
PC,ncsa,10,6167,2018-02-11
XBOX,apac,7,671,2018-02-11
PC,apac,7,1356,2018-02-11
XBOX,ncsa,10,14380,2018-02-11
PC,ncsa,12,7321,2018-02-11
PC,emea,7,4579,2018-02-11
XBOX,emea,7,3073,2018-02-11
XBOX,apac,2,187,2018-02-11
XBOX,emea,6,2551,2018-02-11
PS4,apac,19,1151,2018-02-11
PC,emea,6,3632,2018-02-11
PC,apac,2,407,2018-02-11
PC,ncsa,18,3722,2018-02-11
PC,emea,2,1352,2018-02-11
PC,apac,6,1127,2018-02-11
XBOX,apac,6,557,2018-02-11
PS4,emea,19,5937,2018-02-11
PS4,ncsa,11,15922,2018-02-11
XBOX,emea,2,891,2018-02-11
XBOX,ncsa,18,11976,2018-02-11
XBOX,apac,16,1220,2018-02-11
PC,apac,16,4329,2018-02-11
PC,emea,16,15654,2018-02-11
XBOX,emea,16,9242,2018-02-11
PC,apac,8,1689,2018-02-11
XBOX,apac,8,768,2018-02-11
PS4,ncsa,5,6330,2018-02-11
PS4,apac,1,2611,2018-02-11
PC,ncsa,20,1300,2018-02-11
PS4,emea,1,14495,2018-02-11
XBOX,emea,8,3930,2018-02-11
PC,emea,8,5640,2018-02-11
XBOX,ncsa,20,4049,2018-02-11
PS4,apac,13,11175,2018-02-11
PC,ncsa,15,13699,2018-02-11
XBOX,ncsa,15,31247,2018-02-11
PS4,emea,13,50700,2018-02-11
PC,ncsa,4,1612,2018-02-11
XBOX,ncsa,4,4049,2018-02-11
PC,emea,4,2260,2018-02-11
XBOX,emea,4,1618,2018-02-11
XBOX,apac,4,348,2018-02-11
PC,apac,4,674,2018-02-11
XBOX,apac,15,1749,2018-02-11
PC,apac,15,6466,2018-02-11
PS4,ncsa,13,38136,2018-02-11
PC,emea,15,21381,2018-02-11
XBOX,emea,15,12196,2018-02-11
XBOX,ncsa,8,10200,2018-02-11
PC,emea,20,2354,2018-02-11
PS4,apac,5,1922,2018-02-11
PS4,ncsa,1,10366,2018-02-11
XBOX,emea,20,1557,2018-02-11
PC,ncsa,8,4015,2018-02-11
XBOX,apac,20,261,2018-02-11
PC,apac,20,1721,2018-02-11
PS4,emea,5,8452,2018-02-11
PC,ncsa,16,9734,2018-02-11
XBOX,ncsa,16,24744,2018-02-11
PS4,apac,16,5943,2018-02-11
PS4,emea,16,31641,2018-02-11
XBOX,apac,1,536,2018-02-11
XBOX,ncsa,5,5354,2018-02-11
PS4,apac,8,3045,2018-02-11
PC,ncsa,5,2123,2018-02-11
PC,apac,1,1295,2018-02-11
PS4,ncsa,20,4064,2018-02-11
PC,emea,1,4958,2018-02-11
PS4,emea,8,14865,2018-02-11
XBOX,emea,1,3057,2018-02-11
PC,apac,13,8781,2018-02-11
PS4,ncsa,15,30227,2018-02-11
XBOX,apac,13,2630,2018-02-11
XBOX,emea,13,15281,2018-02-11
PC,emea,13,26610,2018-02-11
PS4,ncsa,4,4837,2018-02-11
PS4,emea,4,6564,2018-02-11
PS4,apac,4,1384,2018-02-11
XBOX,ncsa,13,38812,2018-02-11
PS4,apac,15,8061,2018-02-11
PC,ncsa,13,17746,2018-02-11
PS4,emea,15,39613,2018-02-11
PC,apac,5,903,2018-02-11
PC,ncsa,1,3492,2018-02-11
PS4,emea,20,6459,2018-02-11
XBOX,apac,5,425,2018-02-11
XBOX,ncsa,1,8355,2018-02-11
PS4,ncsa,8,11052,2018-02-11
XBOX,emea,5,2134,2018-02-11
PS4,apac,20,2124,2018-02-11
PC,emea,5,2917,2018-02-11
PS4,ncsa,16,23820,2018-02-11
XBOX,global,18,16738,2018-02-11
XBOX,global,5,7741,2018-02-11
PS4,global,20,12498,2018-02-11
XBOX,global,0,161666,2018-02-11
PS4,global,15,73940,2018-02-11
XBOX,global,2,3345,2018-02-11
PS4,global,8,27363,2018-02-11
PS4,global,1,26324,2018-02-11
PC,global,2,2716,2018-02-11
PS4,global,18,29863,2018-02-11
PC,global,12,20270,2018-02-11
XBOX,global,12,24218,2018-02-11
PS4,global,9,32419,2018-02-11
PS4,global,3,9238,2018-02-11
XBOX,global,19,5627,2018-02-11
XBOX,global,14,52527,2018-02-11
PC,global,14,48053,2018-02-11
PC,global,19,3712,2018-02-11
PS4,global,6,19064,2018-02-12
PC,global,15,39320,2018-02-12
PS4,global,7,22934,2018-02-12
PC,global,20,5284,2018-02-12
XBOX,global,20,5867,2018-02-12
PS4,global,5,15921,2018-02-12
XBOX,global,15,44524,2018-02-12
PS4,global,0,239697,2018-02-12
PS4,global,2,7077,2018-02-12
PC,global,1,9443,2018-02-12
XBOX,global,8,14696,2018-02-12
PC,global,8,11012,2018-02-12
XBOX,global,1,11934,2018-02-12
PS4,global,4,12338,2018-02-12
PC,global,17,36357,2018-02-12
XBOX,global,17,50474,2018-02-12
PC,global,6,7277,2018-02-12
XBOX,global,13,55628,2018-02-12
XBOX,global,16,34568,2018-02-12
PS4,global,10,37038,2018-02-12
PS4,global,11,39266,2018-02-12
PC,global,16,27936,2018-02-12
XBOX,global,6,9783,2018-02-12
PC,global,13,51307,2018-02-12
PC,global,0,259384,2018-02-12
PS4,global,12,41842,2018-02-11
PC,global,18,10591,2018-02-11
PC,global,9,14009,2018-02-11
XBOX,global,9,17735,2018-02-11
PS4,global,14,88553,2018-02-11
PS4,global,19,11127,2018-02-11
XBOX,global,3,4564,2018-02-11
PC,global,3,3471,2018-02-11
XBOX,global,4,5861,2018-02-11
PC,global,4,4347,2018-02-11
PS4,global,17,83921,2018-02-11
PS4,global,16,58684,2018-02-11
PS4,global,13,94225,2018-02-11
XBOX,global,10,20400,2018-02-11
PC,global,11,18212,2018-02-11
XBOX,global,11,21979,2018-02-11
PC,global,10,16804,2018-02-11
XBOX,global,7,12042,2018-02-12
PC,global,5,5783,2018-02-12
PC,global,7,8948,2018-02-12
XBOX,global,5,7858,2018-02-12
PS4,global,20,12633,2018-02-12
XBOX,global,0,161515,2018-02-12
PS4,global,15,74406,2018-02-12
XBOX,global,2,3404,2018-02-12
PS4,global,8,27565,2018-02-12
PS4,global,1,26873,2018-02-12
PC,global,2,2804,2018-02-12
PS4,global,18,30114,2018-02-12
PC,global,12,20409,2018-02-12
XBOX,global,12,24378,2018-02-12
PS4,global,9,32696,2018-02-12
PS4,global,3,9435,2018-02-12
XBOX,global,19,5740,2018-02-12
XBOX,global,14,52882,2018-02-12
PC,global,14,48276,2018-02-12
PC,global,19,3757,2018-02-12
XBOX,ncsa,19,4116,2018-02-13
XBOX,emea,11,6131,2018-02-13
PS4,ncsa,2,2849,2018-02-13
PS4,emea,18,16058,2018-02-13
PC,ncsa,19,1305,2018-02-13
PC,emea,11,9818,2018-02-13
PC,apac,11,2875,2018-02-13
PS4,apac,18,3061,2018-02-13
XBOX,apac,11,1103,2018-02-13
PS4,ncsa,6,7776,2018-02-13
PS4,ncsa,7,9228,2018-02-13
PS4,apac,12,4740,2018-02-13
PS4,apac,10,4398,2018-02-13
PS4,emea,10,20107,2018-02-13
PS4,emea,12,23128,2018-02-13
XBOX,ncsa,17,36545,2018-02-13
PS4,apac,9,3802,2018-02-13
PC,ncsa,17,12087,2018-02-13
PS4,emea,9,17963,2018-02-13
XBOX,ncsa,14,37458,2018-02-13
PC,ncsa,14,17083,2018-02-13
PC,ncsa,0,484327,2018-02-13
XBOX,apac,3,284,2018-02-13
PC,apac,3,591,2018-02-13
XBOX,ncsa,0,285943,2018-02-13
PS4,global,6,18847,2018-02-11
PC,global,15,39061,2018-02-11
PS4,global,7,22596,2018-02-11
PC,global,20,5212,2018-02-11
XBOX,global,20,5826,2018-02-11
PS4,global,5,15807,2018-02-11
XBOX,global,15,44116,2018-02-11
PS4,global,0,239790,2018-02-11
PS4,global,2,7014,2018-02-11
PC,global,1,9257,2018-02-11
XBOX,global,8,14539,2018-02-11
PC,global,8,10828,2018-02-11
XBOX,global,1,11686,2018-02-11
PS4,global,4,12110,2018-02-11
PC,global,17,35963,2018-02-11
XBOX,global,17,50002,2018-02-11
PC,global,6,7167,2018-02-11
XBOX,global,13,55238,2018-02-11
XBOX,global,16,34338,2018-02-11
PS4,global,10,36518,2018-02-11
PS4,global,11,39145,2018-02-11
PC,global,16,27807,2018-02-11
XBOX,global,6,9691,2018-02-11
PC,global,13,50644,2018-02-11
PC,global,0,259971,2018-02-11
XBOX,global,7,11796,2018-02-11
PC,global,5,5702,2018-02-11
PC,global,7,8868,2018-02-11
PC,emea,3,1767,2018-02-13
XBOX,emea,3,1276,2018-02-13
