level,avg_time_ranked,avg_time_casual,avg_time_total,count
70,123649.950183308173,165995.380058946158,289645.330242254331,27822
71,127115.243669868933,171520.153244526981,298635.396914395914,28001
72,131882.552638947221,175896.755074898502,307779.307713845723,28572
73,133935.705246804604,183817.086787656239,317752.792034460843,28322
74,136993.864825174825,190712.565944055944,327706.430769230769,28600
75,141597.928210278432,194519.206469040033,336117.134679318465,28876
76,146382.435334713596,199567.042477570738,345949.477812284334,28980
77,149695.576561636263,207621.771282476506,357317.347844112769,28944
78,153421.961203183682,213618.152086276401,367040.113289460083,29023
79,157288.866657506956,220064.132999003881,377352.999656510837,29113
80,161955.074353781195,226503.274209604888,388458.348563386084,29131
81,166358.430825159476,232331.957678853145,398690.388504012621,29158
82,170213.885037491479,240039.065507839127,410252.950545330607,29340
83,174266.409793201807,246288.792115182179,420555.201908383986,29449
84,178661.420213667967,253679.175479057148,432340.595692725114,29485
85,183481.896065607103,259938.646379070792,443420.542444677895,29509
86,189517.630586333479,265076.279998652881,454593.910584986360,29693
87,192959.903102995182,272817.079242613120,465776.982345608302,29681
88,195951.121155137676,281373.610073875084,477324.731229012760,29780
89,202356.964484726418,287542.960590802283,489899.925075528701,29790
90,207271.641233874741,294363.654334603302,501635.295568478043,29922
91,212591.595953464846,301426.535255437532,514018.131208902377,29655
92,217564.989768281673,308692.903367104691,526257.893135386364,29907
93,223855.026055464270,313997.967707320345,537852.993762784615,29821
94,228600.386656507768,322711.261867691390,551311.648524199159,30187
95,234565.229843801928,327613.159022931206,562178.388866733134,30090
96,238524.757777556903,338227.771361362356,576752.529138919259,30183
97,244989.163221714699,344108.890309224146,589098.053530938845,30431
98,250802.138188950203,351542.374376703677,602344.512565653879,30082
99,258468.538638638639,356446.078678678679,614914.617317317317,29970
100,261671.153238651447,366830.244358906291,628501.397597557738,30136
101,268965.684602649007,372809.857980132450,641775.542582781457,30200
102,274427.898562168920,381969.231401967558,656397.129964136479,30393
103,280014.028873285649,390056.369709298510,670070.398582584159,30478
104,289350.230138356393,393435.351658609768,682785.581796966161,29995
105,293253.342573996642,404521.478813419814,697774.821387416455,30373
106,300636.411674347158,411824.502827074550,712460.914501421708,30597
107,306658.810844155844,419725.758993506494,726384.569837662338,30800
108,315032.626837039927,426280.911106775914,741313.537943815841,30756
109,320508.766624145488,435408.481699538809,755917.248323684297,30573
110,328107.821103658941,441504.016999800784,769611.838103459725,30118
111,336491.259520031733,449128.379743488034,785619.639263519767,30252
112,343715.611834398742,456514.919341343418,800230.531175742160,29879
113,351394.649361786339,464576.823213166661,815971.472574953000,30319
114,358330.022429595067,472859.428495250792,831189.450924845859,30005
115,368331.075017365131,476989.045314722323,845320.120332087454,30233
116,376527.277813074737,484656.280621969570,861183.558435044307,29905
117,382107.651524328690,495959.808331650851,878067.459855979541,29718
118,391295.777120516743,503017.795308516063,894313.572429032806,29415
119,400600.468899195198,508642.581196289729,909243.050095484927,29324
120,406185.764242465942,519550.063334250722,925735.827576716664,29068
121,414828.463756121112,527486.802193254707,942315.265949375819,28998
122,425592.010103092784,532169.828041237113,957761.838144329897,29100
123,433552.298339619981,541852.904713223111,975405.203052843092,28367
124,440846.132907638089,550519.539272130919,991365.672179769008,28659
